capability_id,feature_claim,evidence_class,provenance_receipt,license_result,evidence_limit,domain,value,risk,disposition,target_contract,owner
TP-CAP-001,"OpenAI-compatible /v1 endpoint accepts chat, responses, embeddings and models requests",measured,PREP-GATE-D-BASELINE,no-notice-required,"Route surface counted from the archived tree; no live external client exercised",routing,high,medium,adopt,SPEC-5,lead
TP-CAP-002,"Client format is auto-detected and translated through an OpenAI pivot, with exact source:target pairs registered as direct routes",measured,PREP-GATE-D-BASELINE,no-notice-required,"Suite covers registered pairs only; unregistered pair behaviour is untested",translation,high,high,adopt,SPEC-6,lead
TP-CAP-003,"Provider registry resolves upstream base URL, auth mode and model catalogue from one file per provider",measured,PREP-GATE-D-BASELINE,no-notice-required,"Byte-equality verifier proves the catalogue is unchanged, not that each upstream is reachable",providers,high,medium,adopt,SPEC-5,lead
TP-CAP-004,"Model alias resolution maps client-supplied ids to catalogue ids deterministically",measured,PREP-GATE-D-BASELINE,no-notice-required,"Verified as byte-equal token mapping; semantic correctness of a mapping is out of scope",providers,medium,medium,adopt,SPEC-5,lead
TP-CAP-005,"Non-OpenAI upstreams with binary or framed wire formats are handled inside a dedicated executor rather than the translator",measured,PREP-GATE-D-BASELINE,no-notice-required,"Executor presence measured; no live binary round trip performed under this gate",providers,medium,high,adopt,SPEC-6,lead
TP-CAP-006,"Combo expansion turns one client model request into an ordered candidate list with fallback across entries",measured,PREP-GATE-D-PORTFOLIO,no-notice-required,"Ordering proven by source reading and the existing suite; no timing or load evidence",routing,high,medium,adopt,SPEC-12,lead
TP-CAP-007,"Automatic multi-account fallback retries a quota-classified failure on the next eligible account with no client-visible failed attempt",receipt,PREP-GATE-D-PORTFOLIO,no-notice-required,"Holds only before the first client-visible byte; post-output failures are terminal by design",routing,high,high,adopt,SPEC-12,lead
TP-CAP-008,"Selection is fill-first over a static priority order, so a healthy account stays selected until it is depleted, disabled, expired or incapable",receipt,PREP-GATE-D-PORTFOLIO,no-notice-required,"Depletion-triggered stickiness holds for fill-first; the round-robin strategy rotates on a use counter and does not satisfy it",routing,high,high,adopt-with-rework,SPEC-12,lead
TP-CAP-009,"Per-account per-model quota locks expire on a recorded reset timestamp and do not disable unrelated models",receipt,PREP-GATE-D-PORTFOLIO,no-notice-required,"Model-keyed quota scoping is enabled for a single provider; every other provider locks at account scope",routing,high,high,adopt-with-rework,SPEC-12,lead
TP-CAP-010,"When every account is blocked the response reports the earliest reset across blocking windows as protocol retry state",receipt,PREP-GATE-D-PORTFOLIO,no-notice-required,"Retry state only; no server-side event-driven wait exists, so the client owns the wait",routing,medium,medium,adopt-with-rework,SPEC-12,lead
TP-CAP-011,"A stream is buffered before the first client-visible byte so a pre-output upstream failure can be replayed exactly once",receipt,PREP-GATE-D-PORTFOLIO,no-notice-required,"One-shot latch proven by source reading; buffer ceiling under concurrent load is unmeasured",routing,high,high,adopt,SPEC-12,lead
TP-CAP-012,"Continuity fallback to a single explicitly configured route when no primary account is eligible",fixture,PREP-GATE-D-CONTINUITY,no-notice-required,"Fixture is red by construction; no resolver exists in the archived tree",routing,high,high,defer,ContextContract v1,lead
TP-CAP-013,"Token-saver pre-translate hooks compress tool-result content in place and fail open on any error",measured,PREP-GATE-E-EVIDENCE,no-notice-required,"Fail-open behaviour read from source; compression ratio is unmeasured",translation,medium,medium,adopt,SPEC-6,lead
TP-CAP-014,"Usage accounting records prompt, completion, reasoning and cache-read token counts per request",measured,PREP-GATE-E-EVIDENCE,no-notice-required,"No cache-creation bucket exists in the schema, so cache-write cost cannot be attributed",persistence,high,high,adopt-with-rework,SPEC-21,lead
TP-CAP-015,"State persists to an embedded SQLite file resolved from the configured data directory, through a driver fallback chain that never requires a native build",measured,PREP-GATE-D-BASELINE,no-notice-required,"Fallback chain exercised through the default driver only during this gate",persistence,high,medium,adopt,BrandContract v1,lead
TP-CAP-016,"Schema migrations apply forward in order on an empty data directory to produce a clean install",measured,PREP-GATE-D-BASELINE,no-notice-required,"Fresh-install path is asserted by the suite. Predecessor-state coexistence is now asserted too: tests/unit/db-migration-chain.test.js proves a predecessor state directory beside the namespace is neither read nor changed, and that it lies outside the search path entirely",persistence,high,high,adopt-with-rework,BrandContract v1,lead
TP-CAP-017,"OAuth credential capture, refresh and expiry handling for browser-authorized providers",measured,PREP-GATE-D-BASELINE,no-notice-required,"Authorization URLs verified byte-equal; no live provider authorization was performed",auth,high,high,adopt,SPEC-5,lead
TP-CAP-018,"Gateway API keys are issued and verified against a server-held secret, separate from upstream provider credentials",measured,PREP-GATE-E-EVIDENCE,no-notice-required,"Secret handling read from source; no penetration or key-rotation evidence",auth,high,high,adopt,BrandContract v1,lead
TP-CAP-019,"Client IP is derived from the TCP socket and attacker-supplied forwarding headers are stripped unless the peer is loopback",measured,PREP-GATE-E-EVIDENCE,no-notice-required,"Source-level guarantee; no adversarial header test was run under this gate",security,high,high,adopt,BrandContract v1,lead
TP-CAP-020,"Dashboard UI manages connections, models, usage, statistics and settings from the same server process",measured,PREP-GATE-D-RUNTIME,no-notice-required,"Rendering not visually reviewed; the isolated smoke port was owned by a foreign listener",ui,medium,medium,adopt,BrandContract v1,lead
TP-CAP-021,"A launcher package installs, starts, health-checks and stops the server as a standalone command",measured,PREP-GATE-D-RUNTIME,no-notice-required,"Launcher not executed under this gate because the isolated port was not free",cli,medium,medium,adopt,BrandContract v1,lead
TP-CAP-022,"Container and compose definitions build and run the same server image",measured,PREP-GATE-D-BASELINE,no-notice-required,"Definitions present in the tree; no image build or container run was performed",ops,low,medium,adopt,BrandContract v1,lead
TP-CAP-023,"A bounded-worker test suite plus committed baseline verifiers give a regression verdict against a known-fail catalogue",measured,PREP-GATE-D-BASELINE,no-notice-required,"Verdict is valid for the recorded runtime version and worker cap only",tests,high,medium,adopt,SPEC-21,lead
TP-CAP-024,"Third-party license and notice text required by review is retained verbatim and isolated from product-facing copy",measured,PREP-GATE-F-CUTOVER,retain-verbatim,"Retention is asserted for the top-level license file; no full dependency notice audit was run",legal,medium,high,adopt,BrandContract v1,lead
TP-CAP-025,"Optional remote synchronization of configuration and usage to an external worker service",measured,PREP-GATE-E-EVIDENCE,no-notice-required,"The external worker directory is not part of this repository, so its handlers cannot be exercised here",ops,low,high,reject,BrandContract v1,lead
